Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,NYCJobsWeb\NYCJobsWeb.csproj,File,NYCJobsWeb\NYCJobsWeb.csproj,,,Microsoft.AspNet.Mvc 5.2.2,,,,,"Microsoft.AspNet.Mvc, 5.2.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,NYCJobsWeb\NYCJobsWeb.csproj,File,NYCJobsWeb\NYCJobsWeb.csproj,,,Microsoft.AspNet.Razor 3.2.2,,,,,"Microsoft.AspNet.Razor, 3.2.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,NYCJobsWeb\NYCJobsWeb.csproj,File,NYCJobsWeb\NYCJobsWeb.csproj,,,Microsoft.AspNet.WebPages 3.2.2,,,,,"Microsoft.AspNet.WebPages, 3.2.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,NYCJobsWeb\NYCJobsWeb.csproj,File,NYCJobsWeb\NYCJobsWeb.csproj,,,Microsoft.Bcl.AsyncInterfaces 1.0.0,,,,,"Microsoft.Bcl.AsyncInterfaces, 1.0.0  Recommendation:  Remove Microsoft.Bcl.AsyncInterfaces, and replace with new package Microsoft.Bcl.AsyncInterfaces 10.0.8"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,NYCJobsWeb\NYCJobsWeb.csproj,File,NYCJobsWeb\NYCJobsWeb.csproj,,,Microsoft.Web.Infrastructure 1.0.0.0,,,,,"Microsoft.Web.Infrastructure, 1.0.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,NYCJobsWeb\NYCJobsWeb.csproj,File,NYCJobsWeb\NYCJobsWeb.csproj,,,Newtonsoft.Json 10.0.3,,,,,"Newtonsoft.Json, 10.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,NYCJobsWeb\NYCJobsWeb.csproj,File,NYCJobsWeb\NYCJobsWeb.csproj,,,System.Buffers 4.5.0,,,,,"System.Buffers, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,NYCJobsWeb\NYCJobsWeb.csproj,File,NYCJobsWeb\NYCJobsWeb.csproj,,,System.Diagnostics.DiagnosticSource 4.6.0,,,,,"System.Diagnostics.DiagnosticSource, 4.6.0  Recommendation:  Remove System.Diagnostics.DiagnosticSource, and replace with new package System.Diagnostics.DiagnosticSource 10.0.8"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,NYCJobsWeb\NYCJobsWeb.csproj,File,NYCJobsWeb\NYCJobsWeb.csproj,,,System.Memory 4.5.3,,,,,"System.Memory, 4.5.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,NYCJobsWeb\NYCJobsWeb.csproj,File,NYCJobsWeb\NYCJobsWeb.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
